,Degree,Closeness Centrality,Betweenness Centrality,Eccentricity,Page Rank,Eigen Value Centrality,Death
Jack-Be-Lucky,1,0.002358491,0,8,0.000392266,8.67E-05,0
Jack-Bulwer,4,0.00255102,0.333333333,6,0.000535667,0.001682351,0
Jaehaerys-I-Targaryen,1,0.002531646,0,8,0.000231327,2.78E-05,1
Jafer-Flowers,1,0.002531646,0,7,0.00155227,1.68E-05,0
Jaime-Lannister,1,0.002531646,0,6,0.00243935,0.564568547,0
Jalabhar-Xho,1,0.002531646,0,7,0.016720324,0.003226738,0
Janos-Slynt,1,0.002358491,0,5,0.000597484,0.096146931,1
Jaqen-Hghar,1,0.002358491,0,7,0.000812566,0.010681454,0
Jared-Frey,1,0.003067485,0,8,0.000547601,1.11E-06,1
Jaremy-Rykker,2,0.002840909,0,6,0.000300826,0.005349962,0
Jarl,7,0.003546099,6.10676519,6,0.000220023,0.011382922,0
Jarman-Buckwell,3,0.003154574,0,6,0.007373233,0.002443583,0
Jason-Mallister,1,0.003067485,0,7,0.003625629,0.002810261,0
Jeor-Mormont,5,0.003125,1.466666667,5,0.000496164,0.130516948,1
Jeyne-Farman,2,0.003076923,0,8,0.000778986,2.82E-05,0
Jeyne-Poole,1,0.002604167,0,6,0.00034614,0.033857443,0
Jeyne-Westerling,2,0.003215434,0,6,0.002301441,0.017688158,1
Jhiqui,3,0.003246753,0,7,0.000343224,0.007021145,0
Jhogo,2,0.003225806,0,7,0.000289102,0.004865243,0
Joanna-Lannister,3,0.003289474,0,7,0.000224238,0.00150012,0
Jocelyn-Swyft,1,0.00310559,0,7,0.000834508,0.013767657,0
Joffrey-Baratheon,2,0.003215434,0,6,0.000533772,0.901400829,1
Jojen-Reed,1,0.003205128,0,6,0.000278577,0.050145872,1
Jommo,5,0.003676471,25.72425801,7,0.000248605,5.20E-05,0
Jon-Arryn,4,0.003703704,0,6,0.000233564,0.111705029,1
Jon-Connington,3,0.003236246,0,6,0.015232918,0.052083007,0
Jon-Fossoway,1,0.002469136,0,7,0.00081474,1.89E-05,0
Jon-Snow,19,0.004587156,443.0135843,5,0.00041059,0.444167807,1
Jon-Umber-(Greatjon),6,0.003831418,3.495468214,6,0.001100033,0.024991424,1
Jon-Umber-(Smalljon),4,0.002695418,105,6,0.002095285,0.002501543,0
Jonos-Bracken,6,0.003194888,3.389760739,7,0.000255738,0.005345019,0
Jonothor-Darry,14,0.003968254,350.6873758,8,0.000220606,1.82E-07,0
Jorah-Mormont,7,0.003663004,8.556744846,6,0.005212162,0.054611788,0
Joramun,4,0.003257329,0.583333333,7,0.000587243,0.00080489,0
Jory-Cassel,8,0.003546099,26.30650391,6,0.00446216,0.064500882,1
Joseth,18,0.004166667,272.161237,6,0.000215347,0.001721815,0
Josmyn-Peckledon,20,0.0041841,148.843899,7,0.002869167,0.010121189,0
Justin-Massey,5,0.003134796,105,6,0.00110902,0.004487591,0
Jyck,4,0.00255102,0.333333333,7,0.001518524,0.006318365,0
Karyl-Vance,14,0.003448276,874.8372111,7,0.000547523,0.002728076,0
Kasporio,5,0.003134796,312,7,0.000332519,0.003194747,0
Kedry,12,0.004347826,107.6349826,8,0.000452308,2.80E-05,0
Kegs,3,0.00310559,0,6,0.000245548,0.002902276,0
Kella,8,0.003496503,35.15540317,7,0.000741937,0.002267347,0
Kerwin,4,0.003144654,0,8,0.000756021,2.53E-05,0
Kevan-Lannister,4,0.003125,0,6,0.000257157,0.103481484,1
Khorane-Sathmantes,12,0.003802281,32.7217293,6,0.000494908,0.001636159,0
Khrazz,4,0.003194888,12.20809267,7,0.001729903,0.001199836,0
Kindly-Man,3,0.002967359,1.35025641,7,0.001929448,0.006979827,0
Kojja-Mo,4,0.00255102,1,7,0.000539317,0.001570308,0
Koss,24,0.004524887,556.1852523,7,0.000648561,0.001386613,0
Kurleket,6,0.003731343,131.1036732,7,0.000501595,0.005242259,0
Kyra,18,0.004149378,141.5407634,7,0.000716319,0.000532422,0
Lambert-Turnberry,4,0.00295858,2.261904762,8,0.00043193,5.17E-05,0
Lamprey,26,0.004524887,1279.753353,7,0.000413608,0.000764631,0
Lancel-Lannister,2,0.003257329,3.20799062,6,0.001229904,0.085599687,1
Lark,6,0.002717391,12.96584412,6,0.000280012,0.002874205,0
Leaf,6,0.003584229,106.9588272,6,0.000589354,0.002090456,1
Leathers,9,0.003676471,21.0398865,6,0.0008306,0.008593876,0
Lem,5,0.003164557,3.673192663,7,0.001296439,0.016548125,1
Lemore,2,0.002808989,0,7,0.001146709,0.018190121,0
Leo-Lefford,10,0.003703704,84.67234484,7,0.000916235,0.004193807,0
Leo-Tyrell,12,0.003378378,40.49072503,7,0.000432125,0.000508737,0
Leobald-Tallhart,5,0.003194888,11.08691003,7,0.001859237,0.000427393,0
Leona-Woolfield,4,0.003460208,47.90724047,7,0.003806192,0.000333294,0
Lewyn-Martell,7,0.003412969,1.441374269,7,0.001044808,3.01E-05,0
Lollys-Stokeworth,2,0.002538071,0,7,0.000703672,0.012832975,0
Lommy-Greenhands,4,0.003508772,3.470318304,7,0.000214777,0.014788765,0
Longwater-Pyke,7,0.003333333,108.9634921,8,0.000520339,6.34E-06,0
Loras-Tyrell,5,0.003558719,4.651775284,6,0.000221467,0.153962162,1
Lorent-Caswell,4,0.003095975,0,7,0.001308197,0.000942305,0
Lorren,8,0.003921569,23.52841297,7,0.001054806,0.000944796,0
Lothar-Frey,6,0.003355705,40.69501861,6,0.000235274,0.008230308,1
Lothor-Brune,2,0.003115265,0,7,0.01857171,0.010179779,0
